"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","architecture","batch_size","conv_dropout_p","device","early_stopping_delta","early_stopping_delta_type","early_stopping_patience","epochs","accuracy","test_loss","validation_loss","training_loss","include_second_fc_layer","fc_dropout_p","kernel_sizes","learning_rate","num_reduce_learning_rate","optimizer","out_channels","use_batch_norm","dimensions","input_size","output_size","best_epoch","best_validation_loss","epoch","step_learning_rate","step_training_loss","step_validation_loss","weighted_f1","weighted_precision","weighted_recall"
"trim-sweep-7","finished","-","shane-kercheval","","2024-01-06T20:32:17.000Z","1392","vy3v7jae","relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9885714285714284","0.037707318152700155","0.03853282586698021","0.020152142440035405","true","0.5","[7,7]","0.01","5","sgd","[16,64]","false","","","","21","0.04006984825136273","33","0.0003125","0.03660864879152384","0.03856520260018962","0.9885673248730956","0.9885959623912848","0.9885714285714284"
"stellar-sweep-11","finished","-","shane-kercheval","","2024-01-06T21:49:41.000Z","318","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.992","0.03790264390408993","0.03479309930323558","0.00022713282355763908","true","0","[7,7]","0.001","5","adam","[8,16]","false","","","","8","0.032326905689909056","23","0.00003125","0.001538342705285247","0.03479136425073011","0.9920003827326463","0.9920184597393183","0.992"
"hopeful-sweep-21","finished","-","shane-kercheval","","2024-01-06T23:59:21.000Z","202","vy3v7jae","relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9904285714285714","0.038154141179152896","0.05142449098426317","0.0012219134156330256","false","0","[3,5]","0.005","5","adam","[16,32]","false","","","","10","0.044798850647040776","25","0.00015625","0.003918682785297278","0.051473783334184973","0.990432495560414","0.9904560921348332","0.9904285714285714"
"deep-sweep-52","finished","-","shane-kercheval","","2024-01-07T05:42:45.000Z","267","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9904285714285714","0.03820885398558208","0.04628806400391789","0.00007274462047176452","false","0.5","[7,7]","0.005","5","adam","[8,16]","true","","","","9","0.03385660917405039","24","0.00015625","0.000049063809196273466","0.04637659079681283","0.990428994954896","0.9904501832640864","0.9904285714285714"
"treasured-sweep-46","finished","-","shane-kercheval","","2024-01-07T04:33:06.000Z","286","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9927142857142855","0.03934112350855555","0.04731323416981956","0.0000011566466160109555","false","0.5","[5,5]","0.005","5","adam","[32,64]","true","","","","6","0.0332993352224252","21","0.00015625","7.846575292042981e-7","0.04694652578338959","0.9927116131298196","0.9927235689395816","0.9927142857142855"
"drawn-sweep-35","finished","-","shane-kercheval","","2024-01-07T02:47:03.000Z","371","vy3v7jae","leaky_relu","CNN","128","0","cuda","0.05","relative","3","100","0.9861428571428572","0.039530402315514426","0.03978759169578552","0.021034256036792483","true","0","[7,7]","0.01","5","sgd","[16,32]","true","","","","14","0.041640082163470135","26","0.0003125","0.017193843677107776","0.03977251158122506","0.9861490448018196","0.9861729815046812","0.9861428571428572"
"cosmic-sweep-16","finished","-","shane-kercheval","","2024-01-06T22:58:24.000Z","1007","vy3v7jae","relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9858571428571428","0.04307742789387703","0.04276078370639256","0.02807559927127191","true","0.5","[3,7]","0.005","5","sgd","[16,64]","true","","","","30","0.04315856601297855","39","0.00015625","0.046882383325802426","0.04280681358064924","0.9858529774248626","0.9858822646661736","0.9858571428571428"
"amber-sweep-28","finished","-","shane-kercheval","","2024-01-07T00:49:58.000Z","201","vy3v7jae","leaky_relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9902857142857144","0.04354679957032204","0.04314322200427497","0.0006751142617836845","false","0.5","[3,5]","0.005","5","adam","[16,32]","false","","","","9","0.034635493392390866","24","0.00015625","0.007129899925140697","0.04311661711150581","0.9902889270362296","0.990298050355744","0.9902857142857144"
"pretty-sweep-54","finished","-","shane-kercheval","","2024-01-07T05:58:18.000Z","843","vy3v7jae","relu","CNN","32","0.1","cuda","0.05","relative","3","100","0.9861428571428572","0.04498157650232315","0.045019076322604504","0.02937373342268568","false","0.5","[5,5]","0.001","5","sgd","[32,64]","true","","","","24","0.046814603927412206","39","0.00003125","0.033551787988660084","0.044925425924227706","0.9861430156472648","0.986181453340071","0.9861428571428572"
"bright-sweep-40","finished","-","shane-kercheval","","2024-01-07T03:37:28.000Z","223","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9912857142857144","0.04528435692191124","0.04892270510828322","0.00006341151704925453","false","0.5","[3,5]","0.001","5","adam","[32,64]","false","","","","6","0.035227677983897074","24","0.00003125","0.00009438920863301194","0.04890068727931274","0.9912860198908195","0.9913113879543828","0.9912857142857144"
